id,label
1,68
2,38
3,104
4,12
5,74
6,55
7,28
8,1
9,164
10,153
11,84
12,180
13,22
14,165
15,61
16,110
17,114
18,147
19,132
20,29
21,94
22,12
23,29
24,58
25,29
26,61
27,58
28,3
29,152
30,199
31,3
32,135
33,136
34,29
35,89
36,168
37,21
38,14
39,21
40,19
41,11
42,199
43,85
44,64
45,148
46,129
47,14
48,19
49,33
50,6
51,150
52,4
53,143
54,70
55,147
56,58
57,68
58,51
59,70
60,29
61,133
62,70
63,22
64,102
65,34
66,77
67,142
68,32
69,17
70,36
71,22
72,47
73,123
74,92
75,102
76,20
77,65
78,101
79,125
80,188
81,76
82,44
83,191
84,96
85,41
86,85
87,12
88,73
89,136
90,170
91,68
92,128
93,77
94,176
95,40
96,20
97,120
98,101
99,151
100,29
101,26
102,136
103,78
104,45
105,44
106,77
107,69
108,42
109,109
110,78
111,10
112,133
113,187
114,103
115,74
116,86
117,106
118,120
119,3
120,130
121,118
122,15
123,130
124,7
125,166
126,76
127,28
128,103
129,51
130,47
131,113
132,64
133,41
134,21
135,43
136,194
137,60
138,135
139,185
140,10
141,26
142,140
143,153
144,20
145,96
146,51
147,29
148,134
149,109
150,33
151,121
152,61
153,173
154,13
155,94
156,87
157,156
158,10
159,45
160,129
161,78
162,159
163,114
164,43
165,35
166,75
167,31
168,20
169,129
170,10
171,63
172,35
173,39
174,31
175,13
176,125
177,128
178,189
179,115
180,51
181,20
182,127
183,66
184,104
185,173
186,117
187,92
188,73
189,29
190,99
191,33
192,82
193,78
194,196
195,139
196,7
197,105
198,62
199,175
200,26
201,95
202,10
203,173
204,15
205,33
206,115
207,84
208,43
209,74
210,176
211,48
212,74
213,76
214,54
215,53
216,62
217,166
218,5
219,104
220,79
221,33
222,13
223,35
224,39
225,75
226,119
227,53
228,127
229,168
230,115
231,41
232,53
233,133
234,119
235,26
236,13
237,29
238,35
239,120
240,47
241,28
242,87
243,53
244,124
245,160
246,186
247,7
248,24
249,41
250,69
251,96
252,5
253,23
254,50
255,111
256,140
257,129
258,37
259,95
260,80
261,123
262,132
263,37
264,90
265,61
266,181
267,17
268,119
269,28
270,103
271,65
272,120
273,45
274,6
275,74
276,72
277,62
278,173
279,46
280,97
281,126
282,58
283,41
284,21
285,1
286,23
287,46
288,4
289,93
290,35
291,1
292,161
293,104
294,47
295,22
296,111
297,110
298,39
299,128
300,182
301,135
302,28
303,109
304,99
305,106
306,18
307,51
308,29
309,153
310,100
311,11
312,79
313,22
314,34
315,19
316,119
317,146
318,76
319,79
320,178
321,59
322,28
323,42
324,126
325,115
326,81
327,33
328,111
329,47
330,14
331,21
332,28
333,180
334,73
335,87
336,75
337,143
338,53
339,79
340,174
341,13
342,61
343,4
344,32
345,161
346,34
347,156
348,4
349,123
350,105
351,154
352,46
353,19
354,33
355,73
356,32
357,92
358,42
359,131
360,6
361,150
362,52
363,108
364,50
365,71
366,68
367,31
368,5
369,51
370,104
371,68
372,19
373,40
374,86
375,15
376,99
377,33
378,24
379,13
380,12
381,74
382,31
383,77
384,53
385,166
386,40
387,36
388,93
389,42
390,99
391,75
392,185
393,175
394,165
395,42
396,48
397,78
398,17
399,169
400,152
401,37
402,108
403,173
404,31
405,40
406,90
407,46
408,177
409,146
410,5
411,126
412,28
413,31
414,129
415,103
416,121
417,98
418,179
419,100
420,93
421,10
422,133
423,65
424,8
425,110
426,22
427,163
428,33
429,70
430,126
431,73
432,47
433,116
434,29
435,41
436,46
437,98
438,106
439,176
440,66
441,29
442,48
443,123
444,39
445,108
446,17
447,120
448,46
449,20
450,29
451,31
452,14
453,111
454,23
455,113
456,56
457,68
458,106
459,136
460,13
461,184
462,89
463,129
464,13
465,10
466,82
467,183
468,175
469,43
470,28
471,29
472,31
473,78
474,45
475,74
476,74
477,89
478,14
479,35
480,19
481,4
482,25
483,187
484,175
485,85
486,61
487,50
488,18
489,118
490,194
491,141
492,43
493,28
494,166
495,68
496,115
497,78
498,146
499,98
500,156
501,77
502,144
503,70
504,89
505,67
506,52
507,115
508,98
509,110
510,32
511,180
512,89
513,58
514,72
515,47
516,19
517,149
518,83
519,94
520,23
521,141
522,94
523,56
524,81
525,46
526,46
527,6
528,105
529,41
530,73
531,20
532,73
533,29
534,147
535,110
536,105
537,93
538,136
539,31
540,146
541,122
542,3
543,51
544,2
545,118
546,102
547,33
548,96
549,146
550,57
551,4
552,78
553,119
554,112
555,135
556,136
557,146
558,141
559,162
560,129
561,111
562,13
563,59
564,95
565,76
566,29
567,89
568,94
569,45
570,112
571,171
572,199
573,108
574,82
575,112
576,63
577,140
578,61
579,124
580,102
581,29
582,99
583,150
584,101
585,103
586,89
587,64
588,76
589,109
590,24
591,165
592,77
593,22
594,103
595,59
596,25
597,73
598,153
599,64
600,39
601,50
602,24
603,107
604,28
605,74
606,42
607,53
608,191
609,85
610,65
611,90
612,32
613,123
614,121
615,73
616,24
617,32
618,102
619,98
620,53
621,164
622,68
623,152
624,7
625,63
626,133
627,139
628,164
629,187
630,94
631,4
632,35
633,187
634,27
635,61
636,29
637,48
638,134
639,62
640,156
641,112
642,112
643,123
644,168
645,33
646,61
647,17
648,55
649,128
650,92
651,11
652,191
653,168
654,128
655,113
656,168
657,96
658,34
659,31
660,156
661,6
662,162
663,156
664,170
665,34
666,33
667,76
668,53
669,155
670,146
671,108
672,77
673,99
674,92
675,163
676,19
677,165
678,121
679,113
680,42
681,38
682,52
683,31
684,115
685,76
686,72
687,110
688,19
689,182
690,92
691,39
692,73
693,104
694,29
695,39
696,43
697,115
698,38
699,165
700,53
701,4
702,182
703,23
704,55
705,61
706,175
707,49
708,62
709,111
710,121
711,47
712,25
713,83
714,189
715,48
716,173
717,165
718,34
719,127
720,69
721,62
722,40
723,111
724,146
725,38
726,63
727,38
728,95
729,14
730,143
731,114
732,47
733,28
734,43
735,54
736,8
737,78
738,18
739,138
740,131
741,25
742,47
743,29
744,95
745,137
746,152
747,87
748,167
749,106
750,5
751,33
752,175
753,54
754,97
755,127
756,44
757,28
758,36
759,11
760,133
761,76
762,43
763,93
764,33
765,122
766,102
767,121
768,75
769,146
770,15
771,108
772,34
773,29
774,137
775,144
776,8
777,31
778,78
779,33
780,32
781,28
782,104
783,19
784,43
785,115
786,17
787,83
788,28
789,165
790,90
791,65
792,35
793,101
794,1
795,20
796,89
797,24
798,28
799,33
800,159
801,69
802,48
803,176
804,21
805,49
806,42
807,11
808,92
809,71
810,190
811,129
812,39
813,51
814,42
815,152
816,84
817,51
818,33
819,64
820,111
821,29
822,155
823,71
824,93
825,93
826,20
827,177
828,58
829,7
830,28
831,121
832,19
833,38
834,168
835,64
836,101
837,148
838,22
839,38
840,52
841,15
842,159
843,3
844,119
845,60
846,5
847,10
848,93
849,151
850,159
851,112
852,78
853,14
854,125
855,31
856,14
857,29
858,115
859,94
860,20
861,45
862,94
863,5
864,107
865,70
866,32
867,79
868,47
869,41
870,7
871,181
872,90
873,14
874,89
875,9
876,184
877,123
878,63
879,158
880,9
881,123
882,29
883,79
884,59
885,77
886,194
887,120
888,115
889,191
890,29
891,15
892,126
893,94
894,148
895,68
896,74
897,38
898,32
899,33
900,72
901,157
902,157
903,128
904,39
905,111
906,154
907,100
908,19
909,167
910,19
911,106
912,58
913,68
914,28
915,76
916,24
917,10
918,31
919,97
920,36
921,108
922,77
923,116
924,109
925,13
926,78
927,48
928,144
929,30
930,43
931,107
932,7
933,125
934,13
935,95
936,4
937,29
938,169
939,43
940,130
941,105
942,4
943,166
944,77
945,41
946,56
947,78
948,151
949,124
950,176
951,73
952,48
953,38
954,160
955,44
956,107
957,77
958,33
959,85
960,107
961,81
962,44
963,8
964,182
965,55
966,108
967,25
968,149
969,52
970,36
971,37
972,175
973,31
974,38
975,45
976,178
977,171
978,76
979,73
980,117
981,116
982,19
983,20
984,28
985,78
986,7
987,154
988,85
989,47
990,156
991,146
992,1
993,23
994,112
995,13
996,46
997,22
998,39
999,83
1000,107
1001,20
1002,29
1003,25
1004,31
1005,144
1006,96
1007,53
1008,103
1009,41
1010,12
1011,86
1012,97
1013,50
1014,34
1015,105
1016,90
1017,167
1018,46
1019,76
1020,53
1021,144
1022,95
1023,29
1024,141
1025,148
1026,20
1027,175
1028,20
1029,94
1030,28
1031,114
1032,80
1033,129
1034,103
1035,190
1036,8
1037,144
1038,48
1039,107
1040,80
1041,49
1042,28
1043,145
1044,80
1045,118
1046,144
1047,165
1048,93
1049,49
1050,112
1051,167
1052,55
1053,26
1054,132
